,data_date,region_demand_mw,region_demand_forecast_mw,num_ba,num_rows,num_available_ba,num_missing_ba,year,month,hour,day_of_week,target_region_demand_mw,temperature_2m,relative_humidity_2m,wind_speed_10m,precipitation,latitude,longitude,local_date,local_year,local_month,local_day,local_hour,local_day_of_week,hour_sin,hour_cos,day_of_week_sin,day_of_week_cos,month_sin,month_cos,day_of_year,days_in_year,day_of_year_sin,day_of_year_cos,cooling_degree,heating_degree,temp_squared,lag_1h,lag_24h,lag_168h,rolling_mean_24h,rolling_mean_168h,rolling_std_24h,rolling_std_168h
count,95088,94867.0,95088.0,95088.0,95088.0,95088.0,95088.0,95088.0,95088.0,95088.0,95088.0,95088.0,95088.0,95088.0,95088.0,95088.0,95088.0,95088.0,95088,95088.0,95088.0,95088.0,95088.0,95088.0,95088.0,95088.0,95088.0,95088.0,95088.0,95088.0,95088.0,95088.0,95088.0,95088.0,95088.0,95088.0,95088.0,95087.0,95064.0,94920.0,95064.0,94920.0,95064.0,94920.0
mean,2020-12-01 11:38:47.915194112,31362.16751873676,30644.774913764093,5.0,5.0,4.977410398788491,0.02258960121150934,2020.4186437826013,6.536429412754501,11.5,3.0,31366.828660799005,18.12869867911829,62.310901480733634,7.578660819451455,0.05011147568568063,34.052199999999985,-118.24370000000003,2020-12-01 12:38:47.915194368,2020.4177183240788,6.537502103314824,15.713276123170116,11.499884317684671,3.0,-2.7900371275801624e-05,1.1556712177621901e-05,-2.4024008239406888e-17,-1.7336142804175422e-17,-0.008241513096540988,0.011329457184965686,183.58247097425541,365.2771327612317,-0.006703269898641744,0.011962218354642295,2.5249074541477365,2.696208775029447,371.29610455577995,31366.866150978112,31367.244127093913,31371.7804540461,31366.13554980212,31363.672655937917,5040.072509347865,6683.317221892166
min,2015-07-01 00:00:00,2309.0,225.0,5.0,5.0,2.0,0.0,2015.0,1.0,0.0,0.0,2309.0,0.4,3.0,0.0,0.0,34.0522,-118.2437,2015-07-01 00:00:00,2015.0,1.0,1.0,0.0,0.0,-1.0,-1.0,-0.9749279121818236,-0.9009688679024191,-1.0,-1.0,1.0,365.0,-0.99999073973619,-1.0,0.0,0.0,0.16,2309.0,2309.0,2309.0,4001.2916666666665,6518.660714285715,240.33780236958933,1830.70105668935
25%,2018-03-17 00:00:00,26821.0,26091.0,5.0,5.0,5.0,0.0,2018.0,3.0,5.75,1.0,26828.75,13.5,43.0,3.9,0.0,34.0522,-118.2437,2018-03-17 00:00:00,2018.0,3.0,8.0,5.75,1.0,-0.7071067811865472,-0.7071067811865476,-0.7818314824680299,-0.900968867902419,-0.8660254037844385,-0.5000000000000004,91.0,365.0,-0.711656622281775,-0.691771364614222,0.0,0.0,182.25,26828.5,26828.75,26830.0,28056.416666666668,28273.944940476187,2567.23562173234,2953.184846940294
50%,2020-12-01 00:00:00,30011.0,29440.0,5.0,5.0,5.0,0.0,2020.0,7.0,11.5,3.0,30021.0,17.4,65.0,6.4,0.0,34.0522,-118.2437,2020-12-01 12:00:00,2020.0,7.0,16.0,11.5,3.0,6.123233995736766e-17,-6.123233995736764e-17,0.0,-0.2225209339563143,-2.4492935982947064e-16,6.123233995736766e-17,186.0,365.0,-0.0172133561558352,0.0215160974362222,0.0,0.9000000000000021,302.75999999999993,30021.0,30021.0,30025.0,29918.645833333336,29619.36904761905,3200.1435460547796,3557.7569887813534
75%,2023-08-19 00:00:00,33580.0,33148.0,5.0,5.0,5.0,0.0,2023.0,10.0,17.25,5.0,33588.0,22.1,83.0,10.1,0.0,34.0522,-118.2437,2023-08-19 00:00:00,2023.0,10.0,23.0,17.25,5.0,0.7071067811865476,0.7071067811865475,0.7818314824680298,0.6234898018587336,0.4999999999999999,0.8660254037844384,276.0,366.0,0.7101350157125358,0.7146733860429609,3.8000000000000007,4.800000000000001,488.4100000000001,33588.0,33590.0,33597.0,33784.1875,33988.05059523809,5053.746834215279,5779.7224481096355
max,2026-05-05 00:00:00,3345832.0,64151.0,5.0,5.0,5.0,3.0,2026.0,12.0,23.0,6.0,3345832.0,45.7,100.0,56.2,18.9,34.0522,-118.2437,2026-05-06 00:00:00,2026.0,12.0,31.0,23.0,6.0,1.0,1.0,0.9749279121818236,1.0,1.0,1.0,366.0,366.0,0.99999073973619,1.0,27.4,17.900000000000002,2088.49,3345832.0,3345832.0,3345832.0,180035.70833333334,73930.36939418729,674534.1033950873,283596.09423595614
std,,23350.67199479963,6530.934572444729,0.0,0.0,0.17659839268077382,0.17659839268077382,3.15615354631078,3.47059511181836,6.922222951562803,2.0000105166570705,23324.54508627382,6.530454597969135,24.210045942102763,5.022394065531938,0.4073496181731962,5.4591285445853085e-11,4.740766061365766e-11,,3.1561295547248682,3.4706958032029944,8.807269930015837,6.922390067627784,2.0000105166570705,0.7070955282054654,0.7071254696054906,0.7071104993863003,0.7071104993863248,0.7094957212749339,0.7045779282488258,106.11329221684656,0.4475849647759399,0.709371943785401,0.7047084018103447,4.123910499429794,3.467665063467827,262.07285529702756,23324.664870716082,23327.42923616892,23344.595289171088,6623.195460273075,4827.547003564881,22285.51548544834,21910.408177426496
