model,split,n_rows,MAE,RMSE,MAPE,R2
Temporal Fusion Transformer One-Step,validation,8784,1326.1142578125,1527.64025542665,4.6728263,0.9427304863929749
Temporal Fusion Transformer One-Step,test,11759,1444.7540283203125,1840.1801542240369,5.4009395,0.8790693283081055
