model,split,n_rows,MAE,RMSE,MAPE,R2
Naive Lag 24h,test,11759,1768.3490092694958,3372.500848599937,8.6921705433289,0.5938186848505229
Naive Lag 168h,test,11759,2240.2598010034867,3844.4030106495757,9.82221665430332,0.47219484990383487
EIA Demand Forecast,test,11759,2658.4618590016157,4153.280552013879,11.025787238104606,0.3839749918487817
Naive Lag 24h,validation,8784,1653.64116575592,2782.622101097032,6.604661132463898,0.8099840919277543
EIA Demand Forecast,validation,8784,1935.1730418943534,2902.8554004794823,7.596954411668458,0.7932086793030843
Naive Lag 168h,validation,8784,2553.2675318761385,4336.636309998841,10.567133233412738,0.5384832107535906
