config_id,n_estimators,learning_rate,max_depth,min_child_weight,subsample,colsample_bytree,reg_lambda,reg_alpha,MAE,RMSE,MAPE,R2
1,300,0.03,6,5,0.9,0.9,10,0.0,1249.806096478238,5777.532416555856,5.473718203698764,0.18084462960195158
2,300,0.01,4,10,0.8,0.8,5,0.1,1187.7151299148309,2452.505417728298,5.926025705750497,0.8523948698926489
3,500,0.03,5,5,0.9,1.0,10,0.0,1245.5840128427863,5227.585562145728,5.348687096616862,0.3293687284624238
4,500,0.03,3,5,0.9,0.9,10,0.1,993.9500788287387,2024.5450205818015,4.511593687386847,0.8994142685020579
5,500,0.01,6,1,0.8,0.9,5,0.0,938.9326359205124,3228.384664147621,4.69825272564202,0.7442285578288074
6,300,0.05,4,5,0.8,1.0,1,0.0,1311.5139725342908,4797.203198237094,5.721608328698077,0.4352480617017096
7,300,0.03,5,10,1.0,0.8,5,1.0,1184.819682929034,4268.773261746235,5.122294040311105,0.5528145378888418
8,300,0.03,4,10,0.9,1.0,1,1.0,1104.399529406716,2911.861612691527,5.216461328977505,0.7919235339191593
9,800,0.03,3,5,0.9,0.8,1,0.0,1135.738202704758,2985.153829129386,4.975663492416288,0.7813170455147569
10,300,0.01,5,1,0.9,0.8,10,0.1,1113.5389953502106,3073.5282929585883,5.588919657448469,0.7681773149432015
11,300,0.01,5,1,0.8,0.8,1,1.0,1322.2234709414845,5787.852929576985,6.010678902054465,0.17791547095174665
12,300,0.03,5,1,1.0,1.0,5,1.0,1166.0421729582906,5461.879540742023,5.549772650210683,0.26790787281403183
13,500,0.01,5,10,0.8,1.0,1,0.0,1293.6514657998562,4693.1953953247785,6.049400064801859,0.4594712818616302
14,500,0.01,6,10,0.8,0.8,5,0.1,1259.1057811191608,4912.956414922152,5.712240849121947,0.4076650973348739
15,800,0.05,5,1,0.8,0.9,10,1.0,1339.2597538126406,6443.215383752433,5.969910972152414,-0.018794987169440613
16,300,0.01,4,10,0.9,0.8,1,1.0,1221.15149481657,2500.929517912638,6.0362386937829715,0.8465084732431714
17,500,0.01,4,5,0.8,0.9,10,1.0,1054.6740674572998,2350.4982195267044,5.189128308338973,0.8644182128625619
18,800,0.03,3,1,1.0,0.9,10,0.0,1088.66824811925,2793.2034470579647,4.460830543813692,0.8085362151835187
19,500,0.01,5,10,0.9,1.0,1,1.0,1281.134137318651,4767.22873762158,5.903242077311452,0.4422835145826637
20,800,0.03,5,1,1.0,0.9,10,0.0,1624.8675149108108,9683.945003571469,7.017994829592576,-1.3013683165573897
21,500,0.03,5,10,0.8,1.0,5,0.0,1300.4618174651932,5143.453884430948,5.771489304493922,0.3507810293091298
22,300,0.01,3,5,0.8,1.0,10,0.1,1182.1291512800262,2189.246544304441,6.14671586923207,0.8823827971833618
23,300,0.05,5,10,0.8,1.0,5,1.0,1333.1660776329388,5737.96841016939,5.667880569564372,0.1920252163402395
24,800,0.03,3,5,0.9,0.9,5,0.0,1165.7853177319025,2988.585725581514,5.147119379944336,0.7808139366600638
25,500,0.05,5,10,1.0,0.9,5,0.0,1538.8294245263048,6940.962264443079,6.345986376605328,-0.18228142849831386
26,500,0.03,5,10,0.8,0.9,10,0.1,1272.3382572181022,5254.045294500743,5.422484925377162,0.32256266791104726
27,300,0.05,5,5,0.9,0.9,1,0.0,1398.5973694181182,6878.487869153615,6.18816195284011,-0.16109419146573667
28,500,0.01,5,5,0.9,0.9,10,1.0,1117.2975217614235,3870.68989533978,5.077489762495345,0.6323299463238398
29,500,0.05,5,10,0.8,0.8,10,0.0,1360.8116716965083,6225.263069944654,5.258460593208826,0.04896408368011895
30,300,0.03,5,10,1.0,0.8,1,0.0,1264.0150563738603,5211.123504628244,5.261095415116998,0.33358581399376663
31,300,0.03,5,1,1.0,0.8,10,0.1,1217.930867346258,6564.97095232589,5.3570699524911305,-0.05766252979331221
32,800,0.01,4,5,1.0,0.9,5,1.0,1064.7238731175823,2723.0745273848825,5.052454354215851,0.8180296810367109
