alpha,n_nonzero_coef,n_zero_coef,MAE,RMSE,MAPE,R2
0.0001,27,0,2179.9841892115664,2869.660804815612,8.048109728552845,0.7979110194923159
0.00010969857978923841,27,0,2179.984176433129,2869.6607924187965,8.048109713916405,0.797911021238348
0.00012033778407775893,27,0,2179.9841624153646,2869.660778819703,8.048109697860482,0.797911023153715
0.0001320088400831418,27,0,2179.9841470380757,2869.6607639017184,8.048109680247343,0.7979110252548416
0.0001448118227674533,27,0,2179.984130169408,2869.660747536939,8.048109660925986,0.7979110275597422
0.00015885651294280528,27,0,2179.9841116647153,2869.660729585049,8.048109639730704,0.7979110300881798
0.00017426333860096508,27,0,2179.9840913653366,2869.660709892144,8.048109616479817,0.7979110328618308
0.00019116440753857018,27,0,2179.984069097203,2869.6606882893734,8.048109590973905,0.7979110359044774
0.00020970464013232327,27,0,2179.9840446693756,2869.6606645915194,8.048109562994263,0.7979110392422064
0.0002300430119772917,27,0,2179.984017872395,2869.660638595407,8.048109532301009,0.797911042903634
0.0002523539170434766,27,0,2179.9839884764906,2869.6606100781573,8.04810949863095,0.7979110469201516
0.00027682866303920667,27,0,2179.9839562296047,2869.660578795291,8.048109461695391,0.7979110513261929
0.0003036771118035457,27,0,2179.9839208552185,2869.660544478589,8.048109421177573,0.7979110561595353
0.00033312947879346737,27,0,2179.9838820500263,2869.660506833867,8.048109376730109,0.7979110614616134
0.00036543830709572547,27,0,2179.9838394812773,2869.660465538384,8.048109327971872,0.7979110672778835
0.0004008806328898465,27,0,2179.9837927839753,2869.6604202381363,8.048109274484826,0.7979110736582053
0.00043976036093027214,27,0,2179.983741557688,2869.6603705447474,8.048109215810241,0.7979110806572798
0.00048241087041653687,27,0,2179.983685363179,2869.66031603224,8.048109151445072,0.7979110883351037
0.0005291978735958442,27,0,2179.9836237186046,2869.6602562333137,8.048109080837392,0.7979110967574942
0.0005805225516094895,27,0,2179.9835560953775,2869.66019063536,8.048109003381755,0.7979111059966495
0.0006368249944718586,27,0,2179.98348191366,2869.660118676088,8.048108918414046,0.7979111161317655
0.0006985879746785249,27,0,2179.9834005373727,2869.6600397386937,8.04810882520568,0.7979111272497161
0.0007663410868007462,27,0,2179.9833112687315,2869.659953146567,8.048108722957396,0.7979111394457983
0.0008406652885618325,27,0,2179.98321334231,2869.6598581575518,8.048108610792509,0.7979111528245414
0.0009221978823334322,27,0,2179.983105918418,2869.6597539575214,8.048108487749236,0.7979111675006109
0.001011637979766207,27,0,2179.982988075925,2869.6596396534496,8.048108352772472,0.7979111835997849
0.0011097524964120721,27,0,2179.982858804389,2869.659514265787,8.048108204704906,0.7979112012600282
0.001217382727739662,27,0,2179.982716995347,2869.65937672004,8.048108042276866,0.7979112206326778
0.0013354515629298987,27,0,2179.982561432849,2869.6592258376063,8.048107864095654,0.7979112418837339
0.0014649713983072847,27,0,2179.982390782987,2869.659060325675,8.04810766863334,0.797911265195282
